Report,Critical,High,Medium,Low,CPEs,Test
LAW122-000008_2025-05-24_13-30-53,258,615,371,18,"7-zip, adobe:flash_player, microsoft:3d_builder, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , ",
LAW616-002_2025-06-07_11-40-44,24,226,105,3,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY405-002,0,5,2,0,"7-zip, microsoft:webp_image, , ",
PSY410-003_2025-06-07_13-52-59,103,338,166,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:visual_c++:2005, microsoft:webp_image, microsoft:word:2013, , , ",
PSY408-16_2025-06-07_14-07-43,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
LAW122-0006_2025-05-28_12-51-32,18,207,68,3,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY023-006_2025-06-14_12-14-52,31,222,91,5,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW004-013_2025-06-14_11-50-26,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
LAW104-003_2025-05-31_15-49-17,14,200,55,2,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF315-001_2025-06-07_09-12-44,690,887,780,51,"foxit:reader, microsoft:.net_framework:4.8, microsoft:3d_viewer, microsoft:edge, microsoft:excel:2013, microsoft:heif_image_extensions, microsoft:microsoft_photos, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:vp9_video_extensions, microsoft:web_media_video_extensions, microsoft:webp_image, windows_defender, microsoft:word:2013, , , ",
PSY023-001_2025-06-14_08-10-13,31,222,88,4,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW-12-014-01_2025-06-20_12-14-45,18,212,78,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:word:2010, microsoft:word:2010:sp1, winrar, , ",
FSF101-019-0423_2025-05-31_14-38-56,19,213,70,5,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
LAW120-012_2025-05-24_11-52-21,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY426-004_2025-06-07_15-45-25,31,218,89,4,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
FSF306-001_2025-05-28_13-17-58,80,284,74,15,"7-zip, foxit:reader, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, windows_defender, microsoft:word:2010, winrar, , ",
